Sentence,Mood
Mujhe aaj bahut khushi hai,Happy
Mujhe uski yaad aa rahi hai,Sad
Mujhe lagta hai sab theek hai,Normal
Mujhe kaafi stress ho raha hai,Stressed
Aaj ka din bahut achha tha,Happy
Usne mujhe ignore kar diya,Sad
Mujhe thoda bura lag raha hai,Normal
Kaam bahut zyada ho raha hai,Stressed
Main aaj badi khush hoon,Happy
Ghar par sab theek hai,Normal
Mujhe kuch samajh nahi aa raha,Normal
Kal exam hai,Stressed
Mujhe uski yaad bahut aati hai,Sad
Mujhe ghar jaana hai,Sad
Mujhe lag raha hai mujhe bukhaar hai,Normal
Kaam ka bojh zyada ho raha hai,Stressed
Main aaj bohot khush hoon,Happy
Usne mere saath dhoka kiya, Sad
Aaj mausam bahut achha hai,Normal
Mujhe presentation ke liye stress ho raha hai,Stressed
Mujhe aaj bohot accha laga,Happy
Mujhe unka message mila, Sad
Mujhe thodi si bimar hai,Normal
Kaam karne mein mushkil ho rahi hai,Normal
Maine aaj shopping ki,Normal
Usne mujhse jhoot bola, Sad
Aaj sab kuch theek thaak hai,Normal
Mujhe office mein zyada kaam mila hai,Stressed
Main aaj bohot khush hoon,Happy
Usne mujhe gift diya, Happy
Mujhe thoda gussa aa raha hai,Normal
Mujhe kaam karne mein maza nahi aa raha hai,sad
Aaj kaafi achha din tha,Happy
Usne mere sapne tode, Sad
Mujhe neend aa rahi hai,Normal
Kaam mein tension ho rahi hai,Stressed
Mujhe aaj party mein jaana hai,Happy
Usne mere dil ko dukhaya, Sad
Mujhe kuch samajh nahi aa raha hai,Normal
Mujhe office mein bahut pressure hai,Stressed
Main aaj badi khush hoon,Happy
Usne mujhe ignore kiya, Sad
Mujhe ghar ki yaad aa rahi hai,Normal
Kaam ka load zyada hai,Stressed
Mujhe aaj kuch khushi nahi ho rahi,Happy
Usne mera dil dukhaya, Sad
Aaj kaafi normal din tha,Normal
Mujhe kaafi stress ho raha hai,Stressed
Mujhe aaj bahut achha laga,Happy
Usne mere saath cheat kiya, Sad
Mujhe thoda bukhaar hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Main aaj bohot khush hoon,Happy
Usne mujhe gift diya,Happy
Aaj kaafi normal din tha,Normal
Mujhe kaam karne mein tension ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Usne mujhe ignore kar diya, Sad
Mujhe ghar jaana hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Maine aaj kuch naya seekha,Happy
Usne mujhse baat nahi ki, Sad
Mujhe aaj kuch samajh nahi aa raha,Normal
Kaam ka bojh zyada ho raha hai,Stressed
Main aaj badi khush hoon,Happy
Usne mujhe hurt kiya, Sad
Mujhe thoda gussa aa raha hai,Normal
Kaam karne mein maza aa raha hai,Stressed
Aaj ka din bahut achha tha,Happy
Usne mujhse jhoot bola, Sad
Mujhe aaj kuch samajh nahi aa raha,Normal
Mujhe kaam mein tension ho rahi hai,Stressed
Main aaj bohot khush hoon,Happy
Usne mere saath cheat kiya, Sad
Mujhe thoda bukhaar hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Usne mujhe ignore kar diya, Sad
Mujhe ghar jaana hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Maine aaj kuch naya seekha,Happy
Usne mujhse baat nahi ki, Sad
Mujhe aaj kuch samajh nahi aa raha,Normal
Kaam ka bojh zyada ho raha hai,Stressed
Usne mujhe hurt bhot kiya, Sad
Mujhe thoda bhot gussa aa raha hai,Normal
Kaam karne mein maza aa raha hai,Stressed
Aaj ka din bahut achha tha,Happy
Usne mujhse jhoot bola, Sad
Mujhe aaj kuch samajh nahi aa raha,Normal
Mujhe kaam mein tension ho rahi hai,Stressed
Aaj ki subah bahut khushnuma thi,Happy
Mujhe uski yaad bahut aa rahi hai,Sad
Sab kuch normal lag raha hai,Normal
Kaam ka pressure badh gya hai,Stressed
Main aaj bada khush hoon,Happy
Usne mujhe dukh diya,Sad
Mujhe aaj kuch alag feel ho raha hai,Normal
Office mein kaafi stress hai,Stressed
Mujhe aaj bada khushi hua,Happy
Ghar par sab kuch theek hai,Sad
Mujhe ab samajh aaya,Normal
Exams ki tension ho rahi hai,Stressed
Mujhe uski yaad bahut aati hai,Happy
Mujhe ghar jaana hai,Sad
Thoda sa bimar lag raha hai,Normal
Kaam mein bahut pressure hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe hurt kiya, Sad
Mausam aaj bahut achha hai,Normal
Kaam mein tension ho rahi hai,Stressed
Mujhe aaj bahut accha laga,Happy
Uska message nahi aaya, Sad
Mujhe thoda gussa aa raha hai,Normal
Mujhe kaam karne mein maza aa raha hai,Stressed
Aaj kaafi achha din tha,Happy
Usne sapne tod diye, Sad
Neend aa rahi hai,Normal
Kaam mein tension ho rahi hai,Stressed
Mujhe aaj party mein jaana hai,Happy
Usne dil tod diya, Sad
Mujhe kuch samajh nahi aa raha hai,Normal
Office mein kaafi pressure hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe ignore kiya, Sad
Ghar ki yaad aa rahi hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Mujhe aaj kuch khushi nahi ho rahi,Happy
Usne dhoka diya, Sad
Din normal guzra,Normal
Mujhe tension ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Uska message nahi aaya, Sad
Thoda bimar lag raha hai,Normal
Kaam mein tension ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Usne mujhe ignore kar diya, Sad
Ghar jaana hai,Normal
Kaam mein mushkil ho rahi hai,Stressed
Aaj kuch naya seekha,Happy
Usne baat nahi ki, Sad
Kuch samajh nahi aa raha,Normal
Kaam ka pressure badh raha hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe hurt kiya, Sad
Gussa aa raha hai,Normal
Kaam mein maza aa raha hai,Stressed
Aaj ka din bahut achha tha,Happy
Usne jhoot bola, Sad
Kuch samajh nahi aa raha,Normal
Mujhe tension ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Usne mujhe cheat kiya, Sad
Ghar jaana hai,Normal
Kaam mein mushkil ho rahi hai,Stressed
Aaj kuch naya seekha,Happy
Usne mujhse baat nahi ki, Sad
Kuch samajh nahi aa raha,Normal
Kaam ka pressure badh raha hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe hurt kiya, Sad
Gussa aa raha hai,Normal
Kaam mein maza aa raha hai,Stressed
Aaj ka din bahut achha tha,Happy
Usne jhoot bola, Sad
Kuch samajh nahi aa raha,Normal
Mujhe tension ho rahi hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe cheat kiya, Sad
Ghar jaana hai,Normal
Kaam mein mushkil ho rahi hai,Stressed
Aaj kuch naya seekha,Happy
Usne mujhse baat nahi ki, Sad
Kuch samajh nahi aa raha,Normal
Kaam ka pressure badh raha hai,Stressed
Aaj ka din bahut suhana hai,Happy
Mujhe aaj bada dukh hua,Sad
Ghar par sab kuch thik hai,Normal
Kaam ka pressure badh raha hai,Stressed
Main aaj bada khush hoon,Happy
Usne mujhe dhoka diya, Sad
Mujhe aaj kuch alag feel ho raha hai,Normal
Office mein kaafi stress hai,Stressed
Mujhe aaj bada khushi hua,Happy
Ghar par sab theek hai,Sad
Mujhe ab samajh aaya,Normal
Exams ki tension ho rahi hai,Stressed
Mujhe uski yaad bahut aati hai,Happy
Mujhe ghar jaana hai,Sad
Thoda sa bimar lag raha hai,Normal
Kaam mein bahut pressure hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe hurt kiya, Sad
Mausam aaj bahut achha hai,Normal
Kaam mein tension ho rahi hai,Stressed
Mujhe aaj bahut accha laga,Happy
Uska message nahi aaya, Sad
Mujhe thoda gussa aa raha hai,Normal
Mujhe kaam karne mein maza aa raha hai,Stressed
Aaj kaafi achha din tha,Happy
Usne sapne tod diye, Sad
Neend aa rahi hai,Normal
Kaam mein tension ho rahi hai,Stressed
Mujhe aaj party mein jaana hai,Happy
Usne dil tod diya, Sad
Mujhe kuch samajh nahi aa raha hai,Normal
Office mein kaafi pressure hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe ignore kiya, Sad
Ghar ki yaad aa rahi hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Mujhe aaj kuch khushi nahi ho rahi,Happy
Usne dhoka diya, Sad
Din normal guzra,Normal
Mujhe tension ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Uska message nahi aaya, Sad
Thoda bimar lag raha hai,Normal
Kaam mein tension ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Usne mujhe ignore kar diya, Sad
Ghar jaana hai,Normal
Kaam karne mein mushkil ho rahi hai,Stressed
Aaj kuch naya seekha,Happy
Usne baat nahi ki, Sad
Kuch samajh nahi aa raha,Normal
Kaam ka pressure badh raha hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe hurt kiya, Sad
Gussa aa raha hai,Normal
Kaam mein maza aa raha hai,Stressed
Aaj ka din bahut achha tha,Happy
Usne jhoot bola, Sad
Kuch samajh nahi aa raha,Normal
Mujhe tension ho rahi hai,Stressed
Mujhe aaj bahut khushi hai,Happy
Usne mujhe cheat kiya, Sad
Ghar jaana hai,Normal
Kaam mein mushkil ho rahi hai,Stressed
Aaj kuch naya seekha,Happy
Usne mujhse baat nahi ki, Sad
Kuch samajh nahi aa raha,Normal
Kaam ka pressure badh raha hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe hurt kiya, Sad
Gussa aa raha hai,Normal
Kaam mein maza aa raha hai,Stressed
Aaj ka din bahut achha tha,Happy
Usne jhoot bola, Sad
Kuch samajh nahi aa raha,Normal
Mujhe tension ho rahi hai,Stressed
Mujhe aaj bada khushi hua,Happy
Usne mujhe cheat kiya, Sad
Ghar jaana hai,Normal
Kaam mein mushkil ho rahi hai,Stressed
Aaj kuch naya seekha,Happy
Usne mujhse baat nahi ki, Sad
Kuch samajh nahi aa raha,Normal
Kaam ka pressure badh raha hai,Stressed
